"Species","type","seasonality","PresencePoints","area_km2","class"
"Adelophryne_adiastola","amphibians",NA,69,212103.578213555,"supersmall"
"Adelophryne_gutturosa","amphibians",NA,83,255087.716305523,"supersmall"
"Adelphobates_galactonotus","amphibians",NA,184,563906.691905162,"small"
"Adelphobates_quinquevittatus","amphibians",NA,475,1448121.3183339,"medium"
"Adenomera_andreae","amphibians",NA,1957,5979710.21106569,"large"
"Adenomera_hylaedactyla","amphibians",NA,3102,9424251.84535248,"superlarge"
"Allobates_brunneus","amphibians",NA,623,1901457.58428032,"medium"
"Allobates_conspicuus","amphibians",NA,119,362806.63780711,"supersmall"
"Allobates_femoralis","amphibians",NA,1840,5629133.50665658,"large"
"Allobates_fuscellus","amphibians",NA,221,674916.004742827,"small"
"Allobates_marchesianus","amphibians",NA,1107,3387777.02064908,"large"
"Allobates_peruvianus","amphibians",NA,147,448148.972580874,"supersmall"
"Allobates_trilineatus","amphibians",NA,259,785999.718533407,"small"
"Allophryne_ruthveni","amphibians",NA,999,3062625.92748305,"medium"
"Amazophrynella_minuta","amphibians",NA,1686,5161124.66238854,"large"
"Ameerega_hahneli","amphibians",NA,1293,3963344.95472943,"large"
"Ameerega_parvula","amphibians",NA,62,190594.733956705,"supersmall"
"Ameerega_picta","amphibians",NA,783,2360627.19884651,"medium"
"Ameerega_trivittata","amphibians",NA,1416,4339219.3409586,"large"
"Anomaloglossus_baeobatrachus","amphibians",NA,219,673155.215854234,"small"
"Atelopus_spumarius","amphibians",NA,253,777093.648647369,"small"
"Boana_boans","amphibians",NA,2199,6719034.44304519,"large"
"Boana_calcarata","amphibians",NA,1504,4607090.34608408,"large"
"Boana_cinerascens","amphibians",NA,1836,5623626.02425325,"large"
"Boana_fasciata","amphibians",NA,1703,5201187.2646449,"large"
"Boana_geographica","amphibians",NA,3451,10434786.1938242,"superlarge"
"Boana_hobbsi","amphibians",NA,69,212291.683709051,"supersmall"
"Boana_icamiaba","amphibians",NA,156,475493.985291764,"small"
"Boana_lanciformis","amphibians",NA,1508,4605014.71759874,"large"
"Boana_microderma","amphibians",NA,88,270416.646234837,"supersmall"
"Boana_multifasciata","amphibians",NA,567,1741385.17534919,"medium"
"Boana_nympha","amphibians",NA,59,181375.983739896,"supersmall"
"Boana_punctata","amphibians",NA,3736,11273605.6653949,"superlarge"
"Boana_raniceps","amphibians",NA,2778,8308031.21703715,"superlarge"
"Boana_wavrini","amphibians",NA,780,2389872.29224868,"medium"
"Bolitoglossa_altamazonica","amphibians",NA,642,1962611.01328146,"medium"
"Brasilotyphlus_guarantanus","amphibians",NA,54,164574.761210654,"supersmall"
"Caecilia_gracilis","amphibians",NA,199,610498.804770854,"small"
"Caecilia_tentaculata","amphibians",NA,1499,4595479.33021504,"large"
"Callimedusa_atelopoides","amphibians",NA,136,414721.375023571,"supersmall"
"Callimedusa_tomopterna","amphibians",NA,1795,5488571.70758502,"large"
"Ceratophrys_cornuta","amphibians",NA,1732,5290631.01264787,"large"
"Chiasmocleis_antenori","amphibians",NA,133,406092.825784067,"supersmall"
"Chiasmocleis_avilapiresae","amphibians",NA,346,1057558.20321896,"small"
"Chiasmocleis_bassleri","amphibians",NA,569,1736437.39665784,"medium"
"Chiasmocleis_hudsoni","amphibians",NA,334,1026759.9091646,"small"
"Chiasmocleis_shudikarensis","amphibians",NA,947,2902156.63275263,"medium"
"Chiasmocleis_tridactyla","amphibians",NA,73,223989.985456377,"supersmall"
"Chiasmocleis_ventrimaculata","amphibians",NA,207,630283.876349397,"small"
"Cruziohyla_craspedopus","amphibians",NA,571,1747807.85843096,"medium"
"Ctenophryne_geayi","amphibians",NA,1942,5939824.14775722,"large"
"Dendrobates_leucomelas","amphibians",NA,270,828009.252320613,"small"
"Dendrobates_tinctorius","amphibians",NA,171,525739.519919237,"small"
"Dendropsophus_acreanus","amphibians",NA,350,1055779.42735158,"small"
"Dendropsophus_bifurcus","amphibians",NA,474,1435242.29721305,"medium"
"Dendropsophus_bokermanni","amphibians",NA,329,1004221.38332727,"small"
"Dendropsophus_brevifrons","amphibians",NA,519,1590360.54668291,"medium"
"Dendropsophus_haraldschultzi","amphibians",NA,263,803403.928943715,"small"
"Dendropsophus_koechlini","amphibians",NA,391,1188416.61769999,"small"
"Dendropsophus_leali","amphibians",NA,665,2018951.47153445,"medium"
"Dendropsophus_leucophyllatus","amphibians",NA,1813,5540908.89429058,"large"
"Dendropsophus_marmoratus","amphibians",NA,1577,4822980.19034952,"large"
"Dendropsophus_melanargyreus","amphibians",NA,851,2571878.35503848,"medium"
"Dendropsophus_microcephalus","amphibians",NA,1825,5563251.47568221,"large"
"Dendropsophus_minutus","amphibians",NA,3690,11075216.7261419,"superlarge"
"Dendropsophus_miyatai","amphibians",NA,434,1330938.22443945,"medium"
"Dendropsophus_nanus","amphibians",NA,2739,8124443.63087138,"superlarge"
"Dendropsophus_parviceps","amphibians",NA,1464,4471095.36136247,"large"
