"algo","model_run","prec_sample","dup_index"
"GBM",4,18,0
"GBM",2,7,0
"GLM",3,12,0
"GLM",7,8,0
"GBM",8,45,0
"GLM",2,93,0
"GAM",8,50,0
"GLM",7,14,0
"GAM",1,63,0
"GLM",10,33,0
"GLM",2,53,0
"GLM",3,33,0
"GAM",9,94,0
"RFd",10,61,0
"RFd",5,9,0
"GAM",3,32,0
"GLM",9,59,0
"RFd",4,54,0
"RFd",4,7,0
"RFd",1,94,0
"GBM",3,74,0
"GAM",3,69,0
"GLM",8,65,0
"GAM",2,58,0
"RFd",1,82,0
"RFd",9,76,0
"GAM",6,60,0
"GAM",3,98,0
"GLM",8,16,0
"GAM",4,3,0
"GBM",9,22,0
"GLM",5,65,0
"GLM",10,71,0
"RFd",2,18,0
"GLM",1,22,0
"RFd",4,3,0
"GAM",1,21,0
"GAM",4,28,0
"RFd",10,14,0
"RFd",4,36,0
"GBM",9,16,0
"GBM",8,94,0
"GBM",10,67,0
"RFd",2,72,0
"GLM",2,80,0
"GLM",6,19,0
"RFd",1,20,0
"GLM",3,20,0
"RFd",10,89,0
"GLM",6,75,0
