time,ts_no_tip,ts_tip,ts_tip_ci_low,ts_tip_ci_high
2030,2318.2579543955717,2180.3488314350075,2177.7548428266286,2183.513446134983
2031,2298.6224731865045,2064.1864359435804,2060.4822133736,2067.8292836786272
2032,2313.2270258655794,2128.1039662484777,2124.9245677738686,2131.5257741637865
2033,2291.374090687,2028.5418908754264,2025.2044071108987,2031.7636007086865
2034,2253.616382988348,1931.737865509696,1929.2997777081964,1934.2182441989114
2035,2213.4278008920246,1859.548104502328,1857.3692735743916,1861.8068076758716
2036,2221.6840748776917,1880.3979449381632,1878.4091059745253,1882.2923704237683
2037,2212.40884681707,1867.4781929722749,1865.206072622451,1869.2156147293297
2038,2197.6051186660707,1855.129572575583,1852.2697534067224,1857.6497402960993
2039,2230.339718109769,1896.9643165257596,1894.5155685262,1899.0637921606028
2040,2239.730886988352,1892.2970272917019,1889.934819584704,1894.7656540391517
2041,2252.6550277323017,1910.7782110502897,1908.8536757310458,1912.7821066987588
2042,2245.045028207071,1895.8544121795005,1893.5004640136683,1897.8270151576537
2043,2276.4227931640035,1957.423811937381,1954.4504987764155,1961.188363977257
2044,2335.459032452204,2073.7259803233355,2071.514075262098,2076.129695430961
2045,2331.25562191824,2037.1481206882238,2034.7403127150974,2039.109032939187
2046,2312.1670377939113,1992.8301969760453,1990.365172312688,1995.4261789941024
2047,2295.6155986599174,1967.8381295737981,1965.9172235327972,1969.6424446602316
2048,2276.577431426869,1949.6459932917066,1947.4212826232267,1951.9031086494622
2049,2225.7047809062697,1874.1780237157284,1872.0457001253596,1876.2940892860672
2050,2205.4319786572805,1846.668720421943,1844.6452854068646,1848.3833904064952
2051,2210.737235547477,1847.8897155951815,1845.589646875242,1849.7368309490757
2052,2196.5378865941707,1831.6890807752873,1829.8279088505055,1833.268168331496
2053,2179.0113513679007,1815.0865524058445,1813.3299796297538,1817.0878539328985
2054,2166.0456807206947,1803.4587372228739,1801.4351313120944,1805.1402236153517
2055,2134.515419609921,1768.9862441483308,1767.226663230998,1770.808325865156
2056,2124.7035426419056,1756.7920204453046,1755.128146353133,1758.727603044532
2057,2152.1612194763693,1782.6163161355223,1781.0045864313815,1784.2855051824117
2058,2160.0890912932855,1792.2167732086612,1790.23045465333,1793.8314488410751
2059,2153.0927629738085,1784.8738894324144,1783.2213432532844,1786.2671900470393
2060,2148.473114375239,1778.672558493336,1777.0001693372346,1780.504358554689
2061,2111.6174585704034,1741.2633605368808,1739.3939793795694,1743.279971658714
2062,2104.396958055657,1732.8570418562615,1731.1490152452761,1734.4815930961054
2063,2121.3308258137345,1751.9963435811687,1749.820309863576,1753.784623047991
2064,2093.6271257421567,1724.7546988225647,1723.3255067055973,1726.5570252248021
2065,2115.2547993993676,1748.336674836902,1746.9001253935503,1749.984313561717
2066,2141.4316646462485,1774.512078511811,1772.9588479199244,1776.2454092716314
2067,2157.672209703635,1801.2096353017423,1799.1975779832867,1802.9915269399794
2068,2163.93086325947,1809.7394833211988,1807.9171697473014,1812.141641871659
2069,2175.1181817481324,1830.8267722549117,1828.6685468915541,1833.1074150558543
2070,2150.673058924221,1808.8954203054914,1806.8840977484886,1810.9163961559043
2071,2157.415798674642,1819.8588655434266,1817.7026675901398,1821.6878607044214
2072,2181.3231329006935,1840.1656239355837,1838.1533389099357,1842.1108319614204
2073,2150.866685532854,1814.9839933304572,1812.9219730513958,1816.986002233281
2074,2152.1809112442575,1819.889054280984,1818.0359936437667,1821.4783802220425
2075,2142.420179953368,1809.1630440831207,1807.340963316845,1810.918394263932
2076,2114.162362989475,1780.6305891174102,1778.4019792927181,1782.656556534132
2077,2091.299122915406,1751.2333096709244,1749.5905371261822,1753.146352771263
2078,2079.986395982189,1738.346969207973,1736.0400526496505,1740.2508536248708
2079,2066.4098698439952,1719.772878969582,1717.6651280130743,1721.4862725251178
2080,2113.6528615010434,1765.8508357912892,1763.9896415836208,1767.8925835055759
2081,2108.151786774098,1763.1541622895859,1761.4021677437743,1765.2162084448328
2082,2089.834828075863,1748.543477083547,1746.648591423687,1750.4789841345505
2083,2100.5639801707866,1758.1792649468784,1755.993615900713,1759.8760982827282
2084,2086.732243883592,1742.5324095593448,1740.6263844218486,1744.614521530915
2085,2085.9072529650834,1736.5046973955393,1734.9487761169069,1738.0963369587205
2086,2086.8674987028407,1741.3985009859234,1739.4378945670849,1743.046799484698
2087,2085.5569776748416,1740.934488310439,1738.987614209284,1742.7161714981441
2088,2085.521078659186,1741.5092092224968,1740.0901518991832,1743.1121089469461
2089,2144.3157835953693,1810.532037339305,1808.6457895172532,1812.6499855892378
2090,2125.526968751148,1801.9827788697048,1799.7820881283126,1804.1761657454158
2091,2143.9356215286825,1823.3378378793498,1821.4269320861795,1824.9782193288993
2092,2158.8495924918516,1842.6796179873477,1840.9446522733454,1844.5350618538541
2093,2161.8074400262926,1856.2090849061503,1854.520323449618,1858.344076146915
2094,2186.7839901076068,1896.3117622732282,1893.9449943518744,1898.667901006888
2095,2181.945991872716,1883.0614180335865,1880.4245433044532,1885.560396211566
2096,2177.245495553918,1870.1059157511806,1867.8980683557977,1872.6066972275999
2097,2211.338255134321,1936.6872054025746,1934.797587728527,1939.0639770006806
2098,2216.164153476906,1950.941228121088,1948.8384436334804,1953.1933751549325
2099,2162.168741407818,1876.8927270203892,1874.3248262029451,1878.9988036619993
